Date,Open,High,Low,Close,Volume,MACD,MACDh,MACDs
2006-11-21,4.22,5.27,4.17,5.97,73450,,,
2006-11-22,5.04,5.04,4.58,6.18,110889,,,
2006-11-23,5.09,5.09,4.58,6.35,98670,,,
2006-11-24,4.95,5.37,4.95,6.73,110629,,,
2006-11-27,5.18,5.69,4.77,6.73,55119,,,
2006-11-28,5.27,5.27,4.95,6.57,25740,,,
2006-11-29,4.95,5.0,4.68,6.32,40170,,,
2006-11-30,4.63,4.77,4.54,6.03,86060,,,
2006-12-01,4.68,4.68,4.58,6.01,77090,,,
2006-12-04,4.63,4.63,4.4,5.82,122849,,,
2006-12-05,4.45,4.45,4.22,5.6,144820,,,
2006-12-06,4.22,4.45,4.22,5.61,112839,,,
2006-12-07,4.4,4.72,4.4,6.17,70200,,,
2006-12-08,5.09,5.09,4.77,6.46,63049,,,
2006-12-11,5.41,5.41,4.95,6.61,94380,,,
2006-12-12,5.46,5.55,4.77,6.37,70200,,,
2006-12-13,4.95,5.04,4.77,6.4,99450,,,
2006-12-14,4.95,5.04,4.91,6.45,59279,,,
2006-12-15,5.0,5.09,4.95,6.56,86840,,,
2006-12-18,5.09,5.13,5.04,6.63,91520,0.2226622896433863,,
2006-12-19,5.09,5.09,5.04,6.59,48620,0.2226081930955912,,
2006-12-20,5.09,5.09,5.04,6.63,74620,0.2250324461907125,,
2006-12-21,5.09,5.09,4.95,6.6,57979,0.21220794976584223,,
2006-12-22,4.95,4.95,4.77,6.34,61099,0.1358310170090684,,
2006-12-25,4.86,5.0,4.77,6.42,62919,0.10449791417136112,,
2006-12-26,4.95,5.09,4.95,6.49,57199,0.09894785486698687,,
2006-12-27,5.09,5.23,5.09,6.75,83070,0.15436376021142806,,
2006-12-28,5.18,5.46,5.18,6.99,137800,0.2400316472378714,0.06045575032762163,0.17957589691024978
2006-12-29,5.41,5.41,5.23,6.88,134160,0.25789381251611054,0.0626543324846886,0.19523948003142194
2007-01-02,5.27,5.27,5.18,6.79,110889,0.23905214038183864,0.035050128280333354,0.2040020121015053
2007-01-03,5.27,5.32,5.23,6.87,67210,0.23914598447920454,0.028115177902159394,0.21103080657704515
2007-01-04,5.41,5.46,5.27,7.11,103740,0.28875350998303784,0.06217816272479415,0.2265753472582437
2007-01-05,5.5,5.64,5.46,7.24,104780,0.3404611123509671,0.09110861207417872,0.24935250027678837
2007-01-08,5.55,5.64,5.37,7.21,82030,0.3536986784665128,0.08347694255177956,0.27022173591473325
2007-01-09,5.55,5.55,5.41,7.15,63569,0.33616899839441317,0.05275780998374391,0.28341118841066926
2007-01-10,5.55,5.65,5.55,7.3,101140,0.3506377945923713,0.05378128494536166,0.29685650964700966
2007-01-11,5.65,5.65,5.51,7.35,114139,0.36013840834376243,0.050625518957402194,0.30951288938636023
2007-01-12,5.83,5.83,5.6,7.44,91390,0.3758645433574985,0.05308132317691061,0.3227832201805879
2007-01-15,5.65,5.74,5.65,7.48,58629,0.382941750402054,0.048126824177172844,0.3348149262248812
2007-01-16,5.74,5.83,5.74,7.55,157040,0.39172032765426046,0.04552432114350341,0.34619600651075705
2007-01-17,5.88,6.06,5.69,7.48,393900,0.3679131098808526,0.01737368269607642,0.35053942718477615
2007-01-18,5.83,5.97,5.79,7.76,138060,0.4085400861482942,0.04640052717081444,0.36213955897747974
2007-01-19,6.06,6.34,5.92,8.15,128699,0.5129328627493459,0.12063464301749294,0.39229821973185297
2007-01-22,6.29,6.52,6.15,8.45,178750,0.6310449228341275,0.1909973624818196,0.4400475603523079
2007-01-23,6.89,6.89,6.34,8.91,109719,0.7917777551762466,0.2813841558591509,0.5103935993170957
2007-01-24,6.84,7.39,6.2,9.27,160290,0.9493062015039921,0.3511300817495171,0.598176119754475
2007-01-25,7.35,7.44,6.47,8.91,68120,0.9284723690825061,0.26423699946242474,0.6642353696200813
2007-01-26,6.79,6.84,6.34,8.77,73970,0.8530972838415298,0.15108953137715875,0.7020077524643711
2007-01-29,6.61,6.75,6.38,8.73,52390,0.7710266837329574,0.055215145014869016,0.7158115387180883
2007-01-30,6.93,7.02,6.7,9.0,56159,0.7613324587870558,0.036416736055173926,0.7249157227318819
2007-01-31,7.07,7.07,6.93,9.06,52390,0.7456015783820042,0.016548684520097945,0.7290528938619063
2007-02-01,7.12,7.3,6.79,8.95,83590,0.6862527432684171,-0.03424012047479141,0.7204928637432085
2007-02-02,7.44,7.44,6.79,8.93,33150,0.6239073270643996,-0.07726842934304723,0.7011757564074468
2007-02-05,6.98,6.98,6.79,8.84,49660,0.545067002145645,-0.12488700340944148,0.6699540055550864
2007-02-06,6.7,6.89,6.7,8.88,77350,0.48973261561859793,-0.1441771119491908,0.6339097275677887
2007-02-07,6.84,7.44,6.79,9.04,98020,0.4789044899159798,-0.12400419012144726,0.602908680037427
2007-02-08,6.98,7.07,6.84,8.94,170040,0.4333603985424652,-0.13563862519596948,0.5689990237384347
2007-02-09,6.93,7.02,6.79,8.95,99060,0.3945128387126484,-0.13958894802062904,0.5341017867332775
2007-02-12,6.89,6.98,6.89,8.95,162890,0.3585567601260067,-0.14043602128581667,0.49899278141182335
2007-02-13,6.98,7.02,6.93,9.14,119079,0.3707243076411757,-0.10261477901651811,0.4733390866576938
2007-02-14,7.02,7.44,7.02,9.6,108159,0.47581824716965215,0.0019833284095666093,0.47383491876008554
2007-02-15,7.35,7.58,7.35,9.85,121289,0.5836267107846176,0.08783343361962559,0.495793277164992
2007-02-26,7.58,8.26,7.58,10.72,247649,0.8372690630988942,0.2731806287471217,0.5640884343517725
2007-02-27,8.31,9.0,8.31,11.57,119989,1.166060670428175,0.4815777888611221,0.684482881567053
2007-02-28,9.78,9.78,8.36,11.39,75400,1.2845044757878004,0.4800172753765979,0.8044872004112025
2007-03-01,9.0,9.0,8.54,11.34,124669,1.303264089313041,0.3990215111214708,0.9042425781915702
2007-03-02,9.55,9.55,7.9,11.2,80210,1.2398726152707091,0.2685040296633111,0.971368585607398
2007-03-05,8.81,9.55,8.81,11.94,263510,1.33846592885563,0.2936778745985855,1.0447880542570445
2007-03-06,9.37,10.1,9.37,12.81,308490,1.562586786927307,0.4142389861362099,1.148347800791097
2007-03-07,10.42,10.42,9.87,13.11,206700,1.7195934382426898,0.4569965099612743,1.2625969282814156
2007-03-08,10.24,10.61,10.01,13.09,197340,1.754943690202996,0.39387740953726436,1.3610662806657317
2007-03-09,10.61,10.61,10.01,13.04,91260,1.7086488043948318,0.27806601898328,1.4305827854115518
2007-03-12,10.61,10.61,9.18,12.65,189670,1.533624942974198,0.0824337260501169,1.451191216924081
2007-03-13,9.87,9.87,9.5,12.35,158470,1.307939917260983,-0.11460103973047864,1.4225409569914615
2007-03-14,9.46,9.6,8.81,11.71,162240,0.9779095869177432,-0.3557050960589747,1.333614682976718
2007-03-15,8.49,9.46,8.49,12.17,296660,0.8573227341101468,-0.381033559093257,1.2383562932034038
2007-03-16,9.37,9.87,8.08,12.85,129349,0.919275974190958,-0.25526425520995666,1.1745402294009146
2007-03-19,10.05,10.74,9.87,13.41,327210,1.0607945642653824,-0.09099653210842584,1.1517910963738083
2007-03-20,9.92,10.33,9.55,12.4,155870,0.8720027752859778,-0.22383065687026438,1.0958334321562422
2007-03-21,9.6,9.73,9.5,12.4,113879,0.7304457350988454,-0.2923101576459175,1.0227558927447629
2007-03-22,9.64,9.64,9.18,12.37,91910,0.6147305129193406,-0.32642030386033793,0.9411508167796785
2007-03-23,9.55,9.55,9.27,12.07,111279,0.45399020389299416,-0.38972849030934753,0.8437186942023417
2007-03-26,9.23,9.37,8.49,11.02,107379,0.09262334435669217,-0.6008762798765196,0.6934996242332118
2007-03-27,8.59,8.81,8.03,10.45,185068,-0.2639986770892282,-0.765998641057952,0.5019999639687238
2007-03-28,8.03,8.95,7.44,11.66,122199,-0.18262787487917187,-0.5477022710783166,0.3650743961991447
2007-03-29,9.09,9.09,9.09,11.8,147030,-0.09441602989916476,-0.3675923408786476,0.27317631097948286
2007-03-30,9.87,9.96,8.31,11.48,145730,-0.11440202721601267,-0.3100626705563964,0.19566064334038374
2007-04-02,9.37,9.37,8.49,11.25,62269,-0.17758716759074566,-0.29859824874490354,0.12101108115415786
2007-04-03,8.49,8.77,8.13,11.02,59279,-0.26482305646468873,-0.3086673100950773,0.04384425363038855
2007-04-04,8.81,9.0,8.81,11.57,43810,-0.17808206700882323,-0.17754105651136942,-0.0005410104974538088
2007-04-05,9.0,9.18,8.68,11.39,56419,-0.16296584901929023,-0.12993987081746913,-0.03302597820182109
2007-04-06,9.18,9.18,8.81,11.71,139880,-0.07248413502498963,-0.031566525458534826,-0.0409176095664548
2007-04-09,8.95,9.18,8.95,11.75,98540,-0.006082969916525016,0.02786771171994383,-0.033950681636468846
2007-04-10,9.18,9.5,9.18,12.26,159640,0.1555902080827547,0.15163271177537885,0.003957496307375862
2007-04-11,9.73,9.87,9.41,12.35,106080,0.2695965628098538,0.21251125320198233,0.05708530960787145
2007-04-12,9.87,9.87,9.09,11.9,74360,0.22266082239731588,0.13246041023155555,0.09020041216576033
2007-04-13,9.87,9.87,8.81,12.21,174720,0.2610913020723764,0.13671271192529286,0.12437859014708355
2007-04-16,9.5,9.87,8.72,11.34,97110,0.06884012149313179,-0.044430774923161415,0.1132708964162932
2007-04-17,8.81,8.81,8.49,11.19,110629,-0.08502059445921084,-0.15863319270040324,0.0736125982411924
2007-04-18,9.0,9.18,8.63,11.93,152360,0.001064071933319255,-0.05803882104629852,0.05910289297961777
2007-04-19,9.37,9.37,8.72,11.43,168220,-0.06609324268494277,-0.10015690853164844,0.03406366584670567
2007-04-20,9.14,9.14,8.49,11.11,175500,-0.18069310729008592,-0.17180541850943326,-0.008887688780652644
2007-04-23,10.39,10.39,10.03,10.09,40300,-0.48693768888398026,-0.3824400000826621,-0.10449768880131817
2007-04-24,10.15,10.15,9.55,9.97,141100,-0.6847697321030264,-0.46421763464136656,-0.22055209746165982
2007-04-25,10.15,10.86,9.85,10.88,185200,-0.5656916079461656,-0.2761116083876046,-0.28957999955856095
2007-05-02,10.56,10.56,10.03,10.36,144000,-0.5997177677262755,-0.2481102145341716,-0.3516075531921039
2007-05-03,10.33,10.33,9.97,10.02,67700,-0.6821552048086819,-0.2644381212932624,-0.4177170835154195
2007-05-04,10.15,10.15,9.55,9.82,85800,-0.7578427000390633,-0.272100493218915,-0.4857422068201483
2007-05-07,10.03,10.03,9.79,9.94,110500,-0.7508655479545627,-0.21209867290753148,-0.5387668750470312
2007-05-08,10.09,10.33,9.97,10.09,153300,-0.6871058197780524,-0.1186711557848169,-0.5684346639932355
2007-05-09,10.27,10.39,9.97,10.07,148300,-0.6315965926310128,-0.050529542910221714,-0.581067049720791
2007-05-10,10.15,10.15,9.79,9.92,59900,-0.613778436808003,-0.026169109669769597,-0.5876093271382334
2007-05-11,9.97,10.09,9.79,10.08,107000,-0.5454507099049835,0.03372689378659999,-0.5791776036915834
2007-05-14,10.27,10.27,10.03,10.03,100500,-0.4988260266966549,0.06428126159594294,-0.5631072882925978
2007-05-15,10.33,10.39,10.03,10.08,80600,-0.4429626931203092,0.0961156761378309,-0.5390783692581401
2007-05-16,10.03,10.15,9.97,9.97,65500,-0.42139551753075644,0.09414628138190695,-0.5155417989126634
2007-05-17,10.03,10.09,9.97,10.05,116600,-0.37596149042814453,0.1116642467876151,-0.48762573721575964
2007-05-18,10.09,10.09,9.97,10.02,99300,-0.34376441089234255,0.11508906105873373,-0.4588534719510763
