Date,Open,High,Low,Close,Volume,MACD,MACDh,MACDs
2011-11-01,2.6,2.6,2.48,2.48,2719290,,,
2011-11-02,2.44,2.48,2.37,2.37,1255220,,,
2011-11-03,2.33,2.37,2.26,2.35,1193910,,,
2011-11-04,2.37,2.37,2.31,2.31,483860,,,
2011-11-07,2.31,2.31,2.21,2.21,1158750,,,
2011-11-08,2.17,2.19,2.12,2.15,1105490,,,
2011-11-09,2.14,2.15,2.08,2.08,740500,,,
2011-11-10,2.05,2.17,2.05,2.12,1258020,,,
2011-11-11,2.15,2.19,2.14,2.15,1024320,,,
2011-11-14,2.14,2.15,2.12,2.14,681580,,,
2011-11-15,2.12,2.15,2.12,2.12,333650,,,
2011-11-16,2.12,2.15,2.1,2.14,963200,,,
2011-11-17,2.14,2.14,2.1,2.14,833240,,,
2011-11-18,2.12,2.15,2.08,2.15,1468870,,,
2011-11-21,2.12,2.23,2.12,2.23,1247370,,,
2011-11-22,2.23,2.33,2.23,2.3,1100380,,,
2011-11-23,2.31,2.33,2.26,2.28,580420,,,
2011-11-24,2.28,2.28,2.23,2.23,545770,,,
2011-11-28,2.23,2.3,2.21,2.26,1119140,,,
2011-11-29,2.26,2.31,2.26,2.3,1368920,0.036626987930161725,,
2011-11-30,2.31,2.31,2.24,2.24,1192350,0.027870372905822283,,
2011-12-01,2.26,2.3,2.26,2.28,903960,0.031227640894131437,,
2011-12-02,2.28,2.3,2.26,2.28,505490,0.032261306001551304,,
2011-12-05,2.28,2.35,2.28,2.33,915680,0.0437653800028035,,
2011-12-06,2.33,2.33,2.3,2.3,709500,0.04217211098759677,,
2011-12-07,2.34,2.36,2.28,2.32,1243680,0.04463419916929423,,
2011-12-08,2.34,2.34,2.3,2.3,381970,0.039940404765578474,,
2011-12-09,2.3,2.3,2.24,2.26,861100,0.026317468307287317,-0.009773184022071245,0.03609065232935856
2011-12-12,2.24,2.3,2.24,2.28,640030,0.022026888592531435,-0.011251010989461699,0.033277899581993134
2011-12-13,2.26,2.3,2.26,2.26,648920,0.013977748809264945,-0.015440120618182552,0.029417869427447497
2011-12-14,2.26,2.26,2.2,2.24,1185060,0.003917069295254372,-0.020400640105754504,0.024317709401008875
2011-12-15,2.26,2.26,2.18,2.24,582760,-0.002275628484474268,-0.021274670308386513,0.018999041823912245
2011-12-16,2.24,2.28,2.22,2.24,510930,-0.0059386643362318026,-0.019950164928115237,0.014011500591883436
2011-12-19,2.22,2.26,2.22,2.24,468810,-0.007959585505982858,-0.017576868878293038,0.009617283372310178
2011-12-20,2.22,2.24,2.22,2.24,560760,-0.008925868576436624,-0.014834521558997442,0.005908652982560818
2011-12-21,2.24,2.26,2.24,2.26,588730,-0.004463440314918632,-0.00829767463798356,0.0038342343230649283
2011-12-22,2.22,2.26,2.2,2.22,587640,-0.011153929924957673,-0.01199053139841808,0.0008366014734604078
2011-12-23,2.22,2.24,2.2,2.2,597370,-0.019597275088950816,-0.01634710124992898,-0.0032501738390218367
2011-12-26,2.2,2.22,2.12,2.18,1035190,-0.028829855502503943,-0.020463745330785682,-0.008366110171718259
2011-12-27,2.16,2.16,2.08,2.08,1727600,-0.057293003831234035,-0.03914151492761262,-0.018151488903621414
2011-12-28,2.08,2.12,2.06,2.1,1741660,-0.0678805217491596,-0.03978322627643054,-0.02809729547272905
2011-12-29,2.12,2.14,2.1,2.14,1019180,-0.0625878969457121,-0.027592481178386433,-0.03499541576732566
2011-12-30,2.14,2.18,2.14,2.14,510030,-0.05740860271678505,-0.017930549559567507,-0.039478053157217544
2012-01-03,2.14,2.16,2.12,2.16,462000,-0.0477001838892801,-0.006577704585650046,-0.041122479303630055
2012-01-04,2.14,2.16,2.1,2.16,368740,-0.04033002066350644,0.0006339669120988961,-0.040963987575605335
2012-01-05,2.16,2.16,2.1,2.12,478490,-0.04412801679197598,-0.002531223373096511,-0.041596793418879466
2012-01-06,2.12,2.14,2.1,2.12,331370,-0.04501798217765707,-0.0027369510070220787,-0.04228103117063499
2012-01-09,2.14,2.16,2.1,2.14,464800,-0.03936373964274509,0.0023338332223119262,-0.041697572865057014
2012-01-10,2.12,2.18,2.12,2.18,897700,-0.025179792093346087,0.013214224617368743,-0.03839401671071483
2012-01-11,2.2,2.2,2.18,2.2,653750,-0.01106313191772923,0.02186470783438848,-0.03292783975211771
2012-01-12,2.2,2.24,2.18,2.24,475010,0.007326699042729423,0.03220363103587771,-0.024876931993148284
2012-01-13,2.24,2.28,2.24,2.28,425170,0.027710193938157435,0.042069700745044576,-0.014359506806887141
2012-01-16,2.28,2.36,2.28,2.34,553980,0.05341102597228353,0.05421642622333654,-0.000805400251053006
2012-01-17,2.36,2.36,2.28,2.28,645660,0.05293181272390601,0.042989770379967214,0.009942042343938797
2012-01-18,2.28,2.34,2.26,2.28,343520,0.05096238845587164,0.032816276889546275,0.018146111566325368
2012-01-19,2.32,2.36,2.3,2.36,268670,0.06720424720036311,0.039246508507230195,0.027957738693132915
2012-01-20,2.36,2.38,2.32,2.34,275900,0.0701055509763937,0.033718249826608634,0.03638730114978507
2012-01-30,2.36,2.38,2.32,2.38,457150,0.07915378020713026,0.03421318324587615,0.04494059696125412
2012-01-31,2.38,2.46,2.36,2.4,822330,0.08686052862544313,0.033535945331351215,0.05332458329409192
2012-02-01,2.4,2.4,2.34,2.38,586840,0.08398966168330047,0.024532062711366834,0.05945759897193363
