Date,Open,High,Low,Close,Volume,MACD,MACDh,MACDs
2023-01-03,14.59,15.27,14.59,15.27,7538000,-0.044058279818324664,-0.03301928989688418,-0.011038989921440484
2023-01-04,15.35,15.48,15.22,15.22,7750200,0.0401708402432277,0.04096786413173455,-0.0007970238885068471
2023-01-05,15.27,15.48,15.1,15.44,7746900,0.14208139392342822,0.11430273424954805,0.027778659673880168
2023-01-06,15.31,15.9,15.27,15.48,10917100,0.20856454078058384,0.14462870488536295,0.06393583589522091
2023-01-09,15.69,15.69,15.44,15.48,5950900,0.24204438997123212,0.14248684326080896,0.09955754671042316
2023-01-10,15.44,15.56,15.35,15.44,6400600,0.24503082630936035,0.11637862367914975,0.1286522026302106
2023-01-11,15.48,15.65,15.44,15.48,6466400,0.24857722199555532,0.09594001549227577,0.15263720650327955
2023-01-12,15.52,15.61,15.39,15.48,7333700,0.2428249774254656,0.07215021673774882,0.17067476068771678
2023-01-13,15.61,15.73,15.48,15.48,7999500,0.23164664014745817,0.04877750356779312,0.18286913657966505
2023-01-16,15.52,15.73,15.44,15.69,6246800,0.2675502894036601,0.06774492225919604,0.19980536714446406
2023-01-17,15.86,16.45,15.78,16.45,18897600,0.4616651797676017,0.20948785009851006,0.2521773296690916
2023-01-18,16.54,16.58,16.29,16.58,9911300,0.595046695232595,0.2742954924508027,0.3207512027817923
2023-01-19,16.54,16.75,16.45,16.63,11064200,0.6685134285215568,0.27820978059181156,0.39030364792974526
2023-01-27,16.88,17.05,16.67,16.71,9203700,0.7106516667427893,0.25627841505043525,0.4543732516923541
2023-01-30,16.8,16.8,16.33,16.33,12664300,0.6230318210113772,0.1349268554552185,0.48810496555615873
2023-01-31,16.29,16.58,15.9,16.58,14967100,0.609926776887308,0.09745744906491938,0.5124693278223886
2023-02-01,16.71,16.92,16.03,16.03,15740700,0.45170701132398605,-0.04860985319872213,0.5003168645227082
2023-02-02,16.2,16.2,15.73,16.07,12208800,0.3514567714183645,-0.11908807448347497,0.4705448459018395
2023-02-03,16.07,16.2,15.78,15.78,10022600,0.21078339587471007,-0.20780916002170358,0.41859255589641364
2023-02-06,15.78,16.03,15.69,15.86,6636500,0.1382888710745771,-0.2242429478574693,0.3625318189320464
2023-02-07,15.99,15.99,15.56,15.56,7675200,0.018743320526098728,-0.2750307987247581,0.29377411925085684
2023-02-08,15.69,15.86,15.48,15.61,5590000,-0.04205378363095669,-0.26866232230545084,0.22660853867449413
2023-02-09,15.61,15.86,15.56,15.65,6332800,-0.06786620253105369,-0.23557979296443826,0.16771359043338457
2023-02-10,15.73,15.78,15.52,15.52,5991700,-0.112233496390445,-0.22395766945906365,0.11172417306861866
2023-02-13,15.44,15.44,15.06,15.27,9869700,-0.19495556264244307,-0.2453437885688494,0.050388225926406315
2023-02-14,15.27,15.39,15.1,15.14,6596300,-0.2696147275994445,-0.2560023628206807,-0.013612364778763847
2023-02-15,15.06,15.48,15.06,15.27,6518300,-0.27513566114177834,-0.2092186370904116,-0.06591702405136675
2023-02-16,15.35,15.56,15.31,15.48,4742200,-0.21973128260725616,-0.12305140684471153,-0.09667987576254464
2023-02-17,15.48,15.61,15.35,15.35,4793200,-0.21028955324969623,-0.09088774198972127,-0.11940181125997495
2023-02-20,15.35,16.03,15.35,16.03,8602000,-0.03601392115308322,0.0667103120855134,-0.10272423323859661
2023-02-21,16.12,16.2,15.78,15.78,6951800,0.01072420364020843,0.09075874950304404,-0.08003454586283561
