Date,Open,High,Low,Close,Volume,MACD,MACDh,MACDs
2023-01-03,5.92,6.28,5.92,6.25,718100,-0.26130206042575654,0.052616779355891985,-0.31391883978164853
2023-01-04,6.31,6.34,6.17,6.17,415900,-0.21878914013181294,0.07610375971986849,-0.29489289985168143
2023-01-05,6.17,6.2,6.09,6.12,358800,-0.19810550122016934,0.07742991890520967,-0.275535420125379
2023-01-06,6.13,6.15,5.96,5.98,606700,-0.2126739253299661,0.05028919583633035,-0.26296312116629644
2023-01-09,6.01,6.05,5.88,5.88,290700,-0.23851919938571786,0.01955513742446291,-0.25807433681018077
2023-01-10,5.89,5.98,5.82,5.91,252500,-0.23939351708964107,0.014944655776431781,-0.25433817286607285
2023-01-11,5.9,6.0,5.9,5.95,374600,-0.22279727960662044,0.025232714607561962,-0.2480299942141824
2023-01-12,5.95,6.05,5.93,5.95,254300,-0.2057139211372867,0.03385285846151656,-0.23956677959880326
2023-01-13,5.98,6.1,5.9,5.9,602500,-0.20078383440539405,0.031026356154727375,-0.23181019056012142
2023-01-16,5.9,5.94,5.8,5.85,275200,-0.20334080322090653,0.02277550987137192,-0.22611631309227845
2023-01-17,5.85,6.08,5.84,6.08,883600,-0.1436659335153152,0.0659603036615706,-0.2096262371768858
2023-01-18,6.13,6.25,6.0,6.2,599300,-0.07453931580351902,0.10806953709869344,-0.18260885290221246
2023-01-19,6.15,6.25,6.12,6.2,539900,-0.030477568110577558,0.12170502783330794,-0.1521825959438855
2023-01-27,6.21,6.45,6.2,6.36,1001900,0.03516213900931042,0.14987578796255674,-0.11471364895324632
2023-01-30,6.44,6.5,6.37,6.41,962100,0.08554284682736046,0.16020519662448543,-0.07466234979712497
2023-01-31,6.36,6.39,6.25,6.36,668300,0.10131080243737944,0.14077852178760353,-0.039467719350224084
2023-02-01,6.33,6.66,6.23,6.23,2010600,0.07665303590255235,0.09289660420222115,-0.016243568299668797
2023-02-02,6.27,6.35,6.12,6.14,511900,0.03791809621797171,0.043329331614112405,-0.005411235396140695
2023-02-03,6.25,6.25,5.8,6.1,794000,0.0038266057346394433,0.0073902729046241115,-0.0035636671699846682
2023-02-06,6.2,6.2,5.9,6.06,295500,-0.02638180458021644,-0.018254509928185416,-0.008127294652031023
2023-02-07,6.1,6.15,5.94,5.95,483800,-0.06995570906916981,-0.04946273153371103,-0.020492977535458784
2023-02-08,5.99,6.07,5.92,5.98,525800,-0.08687470831428001,-0.053105384623056986,-0.03376932369122303
2023-02-09,6.1,6.1,5.94,5.94,333200,-0.10384570124579806,-0.05606110204366002,-0.04778459920213804
2023-02-10,5.94,5.98,5.88,5.88,297300,-0.12507119853002102,-0.061829279462306375,-0.06324191906771465
2023-02-13,5.88,5.89,5.55,5.87,788800,-0.13628431757352022,-0.05843391880464445,-0.07785039876887577
2023-02-14,5.82,5.87,5.7,5.85,330800,-0.14348320469266174,-0.052506244739028776,-0.09097695995363296
2023-02-15,5.9,5.92,5.78,5.9,411300,-0.13136560629809058,-0.03231091707556609,-0.09905468922252449
2023-02-16,5.95,5.96,5.86,5.94,229400,-0.11036243246333122,-0.009046194592645385,-0.10131623787068583
2023-02-17,5.96,6.02,5.88,5.93,313200,-0.09657123451654481,0.0037960026833128158,-0.10036723719985763
2023-02-20,5.89,6.3,5.89,6.29,1324000,0.0005273050233114418,0.08071563377853526,-0.08018832875522382
2023-02-21,6.31,6.32,6.1,6.1,700300,0.013839842998993213,0.07522253740337362,-0.06138269440438041
2023-02-22,6.0,6.09,5.92,5.92,637100,-0.021426875142627644,0.03196465540940222,-0.053391530552029866
2023-02-23,5.97,6.0,5.76,6.0,629000,-0.02297102655685368,0.024336403196140957,-0.04730742975299464
2023-02-24,6.0,6.0,5.86,5.89,264400,-0.049363656725535776,-0.00164498157803291,-0.047718675147502866
2023-02-27,5.88,5.88,5.7,5.8,395700,-0.08514449216932629,-0.029940653617458735,-0.05520383855186756
2023-02-28,5.75,5.85,5.7,5.84,340300,-0.09449977411417443,-0.031436748449845495,-0.06306302566432893
2023-03-01,5.77,5.9,5.7,5.9,309400,-0.08285693547410755,-0.0158351278478229,-0.06702180762628465
2023-03-02,5.9,5.96,5.83,5.83,144300,-0.08987055866028637,-0.018279000827201367,-0.071591557833085
2023-03-03,5.76,5.85,5.73,5.81,290500,-0.09600986919606846,-0.01953464909038677,-0.0764752201056817
2023-03-06,5.81,5.98,5.81,5.81,291100,-0.09666501303682384,-0.016151834344913713,-0.08051317869191013
