Date,Open,High,Low,Close,Volume,MACD,MACDh,MACDs
2009-07-01,14.44,14.44,13.64,13.87,6248390,,,
2009-07-02,13.64,13.76,13.18,13.3,1515670,,,
2009-07-03,12.95,13.07,12.84,12.84,899720,,,
2009-07-06,12.84,13.41,12.84,13.41,1571740,,,
2009-07-07,13.18,13.3,12.95,12.95,1115420,,,
2009-07-08,12.61,12.84,12.49,12.72,763030,,,
2009-07-09,12.49,12.84,12.27,12.38,982430,,,
2009-07-10,12.15,12.27,11.81,11.81,1973450,,,
2009-07-13,11.46,11.81,11.23,11.23,812260,,,
2009-07-14,11.28,11.28,10.89,10.96,847840,,,
2009-07-15,11.0,11.42,11.0,11.23,807250,,,
2009-07-16,11.46,11.46,11.32,11.42,638990,,,
2009-07-17,11.35,11.39,11.19,11.26,311000,,,
2009-07-20,10.8,10.84,10.71,10.73,869220,,,
2009-07-21,10.82,10.94,10.73,10.75,483900,,,
2009-07-22,10.89,10.91,10.82,10.89,411780,,,
2009-07-23,10.78,11.42,10.78,11.42,929090,,,
2009-07-24,11.92,11.92,11.92,11.92,624760,,,
2009-07-27,12.49,12.49,12.04,12.49,1535460,,,
2009-07-28,12.49,12.84,12.04,12.15,1192800,-0.09560981289375903,,
2009-07-30,11.92,12.04,11.58,11.81,606660,-0.10576368478631437,,
2009-07-31,12.27,12.38,12.15,12.38,1125450,0.027183620573296707,,
2009-08-03,12.95,12.95,12.61,12.95,2707260,0.2422253723593073,,
2009-08-05,13.3,13.53,13.07,13.3,1654270,0.44757673463152514,,
2009-08-06,13.3,13.53,12.95,13.07,1656340,0.502468771093131,,
2009-08-07,12.95,13.18,12.95,12.95,1017420,0.4910554352733687,,
2009-08-10,13.07,13.3,12.95,13.18,689300,0.5233440442940385,,
2009-08-11,13.07,13.3,12.95,13.07,1207840,0.5000151403924082,0.2186267380660747,0.28138840232633355
2009-08-12,13.18,13.18,12.95,12.95,996150,0.4414988129472235,0.12808832849671192,0.31341048445051156
2009-08-13,13.18,13.18,12.95,13.07,896790,0.4207588436010088,0.08587868732039777,0.334880156280611
2009-08-14,12.95,13.18,12.95,13.07,709790,0.3948915972143734,0.04800915274700984,0.34688244446736355
2009-08-17,12.95,13.07,12.84,12.84,622790,0.3119909851965801,-0.027913167416626805,0.3399041526132069
2009-08-18,12.61,12.84,12.61,12.72,927850,0.22351153714786065,-0.09311409237227702,0.3166256295201377
2009-08-19,12.95,12.95,12.61,12.72,719390,0.16304737682806625,-0.12286260215365719,0.28590997898172343
2009-08-20,12.84,12.84,12.61,12.72,578130,0.12140082371999839,-0.13160732420938004,0.2530081479293784
2009-08-21,12.84,13.3,12.84,12.84,1444220,0.12099811474306854,-0.10560802654904794,0.22660614129211648
2009-08-24,13.07,13.07,12.84,12.95,634370,0.14310447711434726,-0.06680133134221539,0.20990580845656265
2009-08-25,12.95,12.95,12.72,12.72,577480,0.09713356942990004,-0.09021779122133011,0.18735136065123015
2009-08-26,12.84,12.95,12.72,12.84,516120,0.0948929086224588,-0.07396676162301707,0.16885967024547588
2009-08-27,12.84,12.84,12.72,12.84,538870,0.09052892563948056,-0.06266459568479626,0.15319352132427683
2009-08-28,12.95,12.95,12.84,12.95,639140,0.11121322397865363,-0.03358423787649856,0.1447974618551522
2009-08-31,13.18,13.18,12.95,13.18,874340,0.17492079364422786,0.02409866543126052,0.15082212821296734
2009-09-01,12.95,13.18,12.95,13.07,847070,0.1816040644379342,0.02462554897997349,0.1569785154579607
2009-09-03,12.84,12.95,12.49,12.84,1078760,0.12510813049007652,-0.025496307974307353,0.15060443846438387
2009-09-04,12.84,12.84,12.49,12.49,1015060,0.0037261979345384333,-0.11750259242387635,0.12122879035841479
2009-09-07,12.15,12.49,11.92,12.15,954060,-0.15055897401751395,-0.217430211500743,0.06687123748322904
2009-09-08,12.38,12.38,12.15,12.27,687300,-0.21026879284518252,-0.22171202426272923,0.011443231417546725
2009-09-09,12.27,12.38,12.15,12.27,682660,-0.2396090393493271,-0.20084181661349904,-0.03876722273582804
2009-09-10,12.15,12.27,12.15,12.15,412250,-0.2782711232931163,-0.1916031204458306,-0.08666800284728571
2009-09-11,12.15,12.27,12.04,12.15,416470,-0.29275710651974585,-0.1648712829379681,-0.12788582358177775
2009-09-14,12.15,12.27,12.04,12.15,588470,-0.292200807306612,-0.1314519869798674,-0.16074882032674462
2009-09-15,12.27,12.27,12.04,12.04,727020,-0.3087795218349889,-0.11842456120659542,-0.1903549606283935
2009-09-16,16.05,12.61,12.61,12.61,879780,-0.17326257117480104,0.01367391156287398,-0.18693648273767502
2009-09-17,13.18,13.18,12.38,12.84,2195540,-0.031259884390092196,0.12454127867806625,-0.15580116306815844
2009-09-18,12.61,12.95,12.38,12.95,850000,0.08157538333370518,0.1899012371214909,-0.10832585378778573
